userID gender age occupation
2866 M 25-34 executive/managerial
2867 M 45-49 technician/engineer
2868 M 35-44 programmer
2869 M 50-55 technician/engineer
2870 M 50-55 tradesman/craftsman
2871 F 25-34 sales/marketing
2872 M 25-34 writer
2873 F 18-24 "college/grad student"
2874 F 35-44 writer
2875 M 25-34 artist
2876 M 25-34 technician/engineer
2877 M 35-44 academic/educator
2878 F 50-55 writer
2879 M 18-24 "college/grad student"
2880 M 18-24 programmer
2881 F 25-34 programmer
2882 M 18-24 writer
2883 M 18-24 writer
2884 F 50-55 clerical/admin
2885 F 18-24 academic/educator
2886 M 18-24 "college/grad student"
2887 M 25-34 clerical/admin
2888 M 25-34 sales/marketing
2889 M 35-44 clerical/admin
2890 M 35-44 executive/managerial
2891 F 18-24 "college/grad student"
2892 M 25-34 "college/grad student"
2893 M 25-34 academic/educator
2894 M 18-24 "college/grad student"
2895 M 25-34 lawyer
2896 M 18-24 sales/marketing
2897 M 25-34 "customer service"
2898 M 18-24 "college/grad student"
2899 M 35-44 sales/marketing
2900 M 18-24 programmer
2901 M 25-34 technician/engineer
2902 M 25-34 programmer
2903 M 25-34 self-employed
2904 M 25-34 "college/grad student"
2905 M 35-44 technician/engineer
2906 M 35-44 unemployed
2907 F 35-44 "customer service"
2908 M 18-24 artist
2909 M 25-34 executive/managerial
2911 F 25-34 "college/grad student"
2912 F 18-24 "college/grad student"
2913 F 35-44 writer
2914 M 25-34 "college/grad student"
2915 M 25-34 executive/managerial
2916 M 45-49 artist
2917 M 25-34 other
2918 M 25-34 programmer
2919 M 18-24 technician/engineer
2920 M 25-34 artist
2921 M 50-55 academic/educator
2922 M 25-34 technician/engineer
2923 M 35-44 programmer
2924 F 18-24 "college/grad student"
2925 F 25-34 "college/grad student"
2926 F 18-24 artist
2927 M 25-34 programmer
2928 M 25-34 artist
2929 M 18-24 artist
2930 M 50-55 technician/engineer
2931 M 18-24 "college/grad student"
2932 M 25-34 programmer
2933 M 35-44 lawyer
2934 F 35-44 writer
2935 M 25-34 other
2936 F 18-24 "college/grad student"
2937 F 18-24 "college/grad student"
2938 F 25-34 other
2939 F 25-34 scientist
2940 M 25-34 other
2941 M 35-44 programmer
2942 F 50-55 academic/educator
2943 M 35-44 programmer
2944 F 18-24 "college/grad student"
2945 F 35-44 technician/engineer
2946 M 35-44 self-employed
2948 M 18-24 sales/marketing
2949 M 25-34 technician/engineer
2950 M 18-24 other
2951 F 35-44 sales/marketing
2952 M 25-34 "college/grad student"
2953 M 25-34 writer
2954 M 18-24 artist
2955 M 35-44 sales/marketing
2956 M 25-34 programmer
2957 M 18-24 "college/grad student"
2958 M 25-34 executive/managerial
2959 M 35-44 technician/engineer
2960 M 18-24 "college/grad student"
2961 M 50-55 technician/engineer
2962 M 35-44 clerical/admin
2963 F 18-24 "college/grad student"
2964 M 25-34 technician/engineer
2965 F 35-44 "college/grad student"
2966 F 25-34 "college/grad student"
2967 M 25-34 other
2968 F 18-24 other
2969 M 25-34 executive/managerial
2970 M 18-24 "college/grad student"
2971 M 25-34 "college/grad student"
2972 M 25-34 "college/grad student"
2973 F 18-24 "college/grad student"
2974 M 18-24 "college/grad student"
2975 M 35-44 lawyer
2976 M 18-24 writer
2977 F 18-24 "college/grad student"
2978 M 35-44 writer
2979 M 35-44 artist
2981 M 45-49 "doctor/health care"
2982 M 25-34 "college/grad student"
2983 M 18-24 "college/grad student"
2984 M 25-34 "college/grad student"
2985 M 18-24 "college/grad student"
2986 M 25-34 "college/grad student"
2987 M 18-24 "college/grad student"
2988 F 18-24 "doctor/health care"
2989 M 35-44 programmer
2990 M 35-44 programmer
2991 M 50-55 academic/educator
2992 M 18-24 "college/grad student"
2993 M 18-24 unemployed
2994 M 35-44 "customer service"
2995 M 25-34 scientist
2996 M 18-24 other
2997 F 35-44 self-employed
2998 F 25-34 academic/educator
2999 M 25-34 executive/managerial
3000 M 25-34 "college/grad student"
3001 M 18-24 "college/grad student"
3002 M 45-49 lawyer
3003 M 18-24 scientist
3004 F 18-24 "college/grad student"
3005 M 25-34 technician/engineer
3006 M 18-24 "college/grad student"
3007 M 35-44 other
3008 M 18-24 "college/grad student"
3009 F 35-44 clerical/admin
3010 M 25-34 programmer
3011 M 25-34 academic/educator
3012 M 25-34 programmer
3013 M 45-49 technician/engineer
3014 M 35-44 executive/managerial
3015 M 56+ "doctor/health care"
3016 M 18-24 programmer
3017 F 35-44 homemaker
3018 M 35-44 other
3019 M 50-55 programmer
3020 F 35-44 executive/managerial
3021 F 45-49 scientist
3022 M 25-34 technician/engineer
3023 F 25-34 executive/managerial
3024 M 35-44 technician/engineer
3025 F 35-44 other
3026 F 18-24 "college/grad student"
3027 M 18-24 "college/grad student"
3028 M "Under 18" "K-12 student"
3029 M 18-24 "college/grad student"
3030 M 35-44 academic/educator
3031 M 18-24 "college/grad student"
3032 M 25-34 other
3033 M 18-24 "college/grad student"
3034 F 18-24 academic/educator
3035 F 25-34 executive/managerial
3036 M 56+ retired
3037 F 25-34 artist
3038 F 35-44 artist
3039 F 50-55 clerical/admin
3040 M 25-34 farmer
3041 M 25-34 "college/grad student"
3042 M 56+ academic/educator
3043 M 18-24 artist
3044 M 35-44 self-employed
3045 M 45-49 academic/educator
3046 M "Under 18" "college/grad student"
3047 F 25-34 "college/grad student"
3048 M 18-24 artist
3049 F 50-55 other
3050 M 35-44 programmer
3051 M 18-24 technician/engineer
3052 M 35-44 programmer
3053 F 25-34 clerical/admin
3054 M 18-24 "college/grad student"
3055 F 25-34 clerical/admin
3056 M 25-34 tradesman/craftsman
3057 F 25-34 programmer
3058 M 18-24 programmer
3059 M 35-44 other
3060 F 35-44 academic/educator
3061 M 45-49 artist
3062 M 18-24 "college/grad student"
3063 M 18-24 "college/grad student"
3064 M 35-44 technician/engineer
3065 F 18-24 "college/grad student"
3066 M 18-24 "college/grad student"
3067 F 25-34 other
3068 F 35-44 homemaker
3069 M 18-24 "college/grad student"
3070 F 18-24 "college/grad student"
3071 M 25-34 academic/educator
3072 M 50-55 academic/educator
3073 M 25-34 other
3074 M 25-34 other
3075 F 25-34 lawyer
3076 M 35-44 technician/engineer
3077 M 18-24 "college/grad student"
3078 F 35-44 academic/educator
3079 F 25-34 academic/educator
3080 M 25-34 writer
3081 M 25-34 executive/managerial
3082 F 35-44 "doctor/health care"
3083 F 50-55 other
3084 M 25-34 self-employed
3085 M 25-34 "college/grad student"
3086 M 18-24 programmer
3087 F "Under 18" academic/educator
3088 F 25-34 "college/grad student"
3089 M 45-49 self-employed
3090 M 25-34 artist
3091 F 25-34 other
3092 M 35-44 scientist
3093 F 45-49 writer
3094 M 35-44 other
3095 F 25-34 clerical/admin
3096 F 45-49 clerical/admin
3097 F 25-34 "customer service"
3098 M 25-34 "college/grad student"
3099 M 25-34 technician/engineer
3100 F 25-34 "doctor/health care"
3101 M 18-24 scientist
3102 M 25-34 programmer
3103 M 25-34 writer
3104 M 18-24 technician/engineer
3105 M 35-44 programmer
3106 M 25-34 other
3107 M 25-34 technician/engineer
3108 M 50-55 "doctor/health care"
3109 F 25-34 lawyer
3110 M 25-34 other
3111 M 18-24 "college/grad student"
3112 M 18-24 programmer
3113 M 25-34 "K-12 student"
3114 M 18-24 "customer service"
3115 M 35-44 technician/engineer
3116 M 25-34 programmer
3117 M 35-44 other
3118 M 25-34 other
3119 M 45-49 academic/educator
3120 M 18-24 "college/grad student"
3121 M 25-34 artist
3122 F 25-34 executive/managerial
3123 M 25-34 artist
3124 M 25-34 programmer
3125 M 25-34 executive/managerial
3126 M 25-34 artist
3127 F 25-34 other
3128 M 18-24 artist
3129 M 25-34 executive/managerial
3130 M 25-34 executive/managerial
3131 F 25-34 artist
3132 M 35-44 executive/managerial
3133 M 18-24 "college/grad student"
3134 M 18-24 "college/grad student"
3135 M 25-34 scientist
3136 F 25-34 "college/grad student"
3137 M 25-34 lawyer
3138 M 35-44 technician/engineer
3139 M 56+ retired
3140 F 25-34 "college/grad student"
3141 M 25-34 sales/marketing
3142 M 25-34 writer
3143 F 50-55 self-employed
3144 F 25-34 executive/managerial
3145 M 18-24 "college/grad student"
3146 M 25-34 other
3147 M 25-34 sales/marketing
3148 M 18-24 writer
3149 M 18-24 "college/grad student"
3150 F 25-34 clerical/admin
3151 F 25-34 other
3152 M 18-24 "college/grad student"
3153 F 25-34 "college/grad student"
3154 F 25-34 "college/grad student"
3155 M 25-34 executive/managerial
3156 M 35-44 executive/managerial
3157 M 25-34 programmer
3158 M 25-34 scientist
3159 F 25-34 scientist
3160 M 25-34 technician/engineer
3161 M 25-34 executive/managerial
3162 M 25-34 academic/educator
3163 M 18-24 scientist
3164 M 18-24 programmer
3165 M 35-44 executive/managerial
3166 M 18-24 "college/grad student"
3167 M 25-34 artist
3168 F 35-44 "customer service"
3169 M 50-55 other
3170 M 25-34 other
3171 F 50-55 clerical/admin
3172 M 18-24 programmer
3173 M 25-34 programmer
3174 F 18-24 sales/marketing
3175 M 35-44 self-employed
3176 M 25-34 technician/engineer
3177 F 25-34 "doctor/health care"
3178 F 35-44 "customer service"
3179 F 18-24 writer
3180 M 25-34 sales/marketing
3181 M 25-34 programmer
3182 M 25-34 programmer
3183 M 50-55 executive/managerial
3184 F 25-34 tradesman/craftsman
3185 M 18-24 executive/managerial
3186 M 50-55 academic/educator
3187 M 35-44 programmer
3188 M 56+ retired
3189 M 25-34 self-employed
3190 M "Under 18" technician/engineer
3191 M 25-34 programmer
3192 M 18-24 "college/grad student"
3193 M 25-34 other
3194 M 25-34 scientist
3195 M 18-24 "college/grad student"
3196 F 18-24 "college/grad student"
3197 F 18-24 sales/marketing
3198 M 25-34 programmer
3199 M 18-24 other
3200 F 25-34 academic/educator
3201 M 45-49 executive/managerial
3202 F 18-24 "college/grad student"
3203 M 35-44 other
3204 M 45-49 self-employed
3205 F 35-44 self-employed
3206 M 18-24 writer
3207 M 35-44 executive/managerial
3208 M 25-34 sales/marketing
3209 M 25-34 other
3210 F 45-49 other
3211 M 50-55 self-employed
3212 F 25-34 technician/engineer
3213 F 25-34 academic/educator
3214 F 56+ executive/managerial
3215 F 50-55 retired
3216 M 35-44 academic/educator
3217 F 35-44 other
3218 M 56+ "doctor/health care"
3219 F 18-24 "college/grad student"
3220 M 35-44 executive/managerial
3221 M 25-34 other
3222 M 35-44 executive/managerial
3223 M 25-34 writer
3224 F 25-34 sales/marketing
3225 M 18-24 other
3226 M 35-44 "college/grad student"
3227 F 25-34 sales/marketing
3228 M 25-34 sales/marketing
3229 F 56+ academic/educator
3230 M 35-44 self-employed
3231 M 25-34 executive/managerial
3232 M 35-44 programmer
3233 M 50-55 artist
3234 F "Under 18" other
3235 M 18-24 "college/grad student"
3236 M 18-24 scientist
3237 M 35-44 executive/managerial
3238 M 35-44 executive/managerial
3239 F 25-34 programmer
3240 M 18-24 "college/grad student"
3241 F 50-55 other
3242 M 50-55 retired
3243 M 25-34 programmer
3244 F 18-24 "college/grad student"
3245 M 18-24 artist
3246 F 35-44 academic/educator
3247 M 35-44 scientist
3248 F 25-34 executive/managerial
3249 F 25-34 "college/grad student"
3250 M 25-34 "college/grad student"
3251 M 35-44 technician/engineer
3252 M 50-55 other
3253 F 35-44 "college/grad student"
3254 F 35-44 "doctor/health care"
3255 F 25-34 scientist
3256 M 25-34 scientist
3257 M 25-34 sales/marketing
3258 M 45-49 "doctor/health care"
3259 F 18-24 "college/grad student"
3260 M 25-34 "college/grad student"
3261 M 45-49 writer
3262 M 25-34 sales/marketing
3263 M 50-55 lawyer
3264 F 25-34 academic/educator
3265 M 25-34 scientist
3266 F 25-34 "college/grad student"
3267 M 25-34 "college/grad student"
3268 M 25-34 programmer
3269 F 18-24 writer
3270 M 18-24 lawyer
3271 F 35-44 other
3272 M 35-44 other
3273 M 35-44 executive/managerial
3274 M 25-34 writer
3275 M 35-44 executive/managerial
3276 M 25-34 writer
3277 M 25-34 technician/engineer
3278 M 35-44 executive/managerial
3279 M 45-49 scientist
3280 M 25-34 executive/managerial
3281 M 25-34 technician/engineer
3282 M 45-49 clerical/admin
3283 M 35-44 self-employed
3284 M 25-34 "doctor/health care"
3285 M 25-34 "college/grad student"
3286 F 35-44 executive/managerial
3287 M 56+ retired
3288 M 25-34 sales/marketing
3289 M 45-49 "doctor/health care"
3290 M 25-34 sales/marketing
3291 F 25-34 executive/managerial
3292 F 50-55 "doctor/health care"
3293 M 45-49 sales/marketing
3294 M 18-24 "college/grad student"
3295 M 18-24 tradesman/craftsman
3296 M 18-24 sales/marketing
3297 M 18-24 "college/grad student"
3298 M "Under 18" "K-12 student"
3299 F 25-34 "college/grad student"
3300 M 35-44 "customer service"
3301 F 25-34 artist
3302 M 25-34 technician/engineer
3303 M 56+ technician/engineer
3304 F 45-49 "customer service"
3305 M 56+ writer
3306 M 45-49 sales/marketing
3307 M 50-55 "doctor/health care"
3308 F 18-24 writer
3309 M 25-34 technician/engineer
3310 M 45-49 sales/marketing
3311 M 25-34 "college/grad student"
3312 F 18-24 "college/grad student"
3313 M 35-44 writer
3314 M 25-34 executive/managerial
3315 M 25-34 programmer
3316 M "Under 18" unemployed
3317 M 25-34 "college/grad student"
3318 M 56+ retired
3319 F 56+ retired
3320 M 25-34 academic/educator
3321 M 35-44 academic/educator
3322 F 18-24 "college/grad student"
3323 M 35-44 sales/marketing
3324 M 35-44 technician/engineer
3325 F 35-44 sales/marketing
3326 M 45-49 executive/managerial
3327 M 18-24 programmer
3328 M 56+ unemployed
3329 M 50-55 tradesman/craftsman
3330 F 35-44 academic/educator
3331 F 25-34 executive/managerial
3332 M 25-34 executive/managerial
3333 M 18-24 self-employed
3334 M 35-44 other
3335 M 25-34 other
3336 M 35-44 technician/engineer
3337 M 25-34 "college/grad student"
3338 M 45-49 self-employed
3339 M 25-34 technician/engineer
3340 M 45-49 self-employed
3341 M 25-34 writer
3342 F 25-34 "customer service"
3343 F 18-24 "college/grad student"
3344 M 35-44 other
3345 M 25-34 executive/managerial
3346 M 35-44 executive/managerial
3347 F 35-44 executive/managerial
3348 M 45-49 self-employed
3349 F 18-24 "college/grad student"
3350 F 18-24 other
3351 F 18-24 "customer service"
3352 M 35-44 other
3353 M 35-44 technician/engineer
3354 M 25-34 executive/managerial
3355 M 25-34 academic/educator
3356 M 35-44 executive/managerial
3357 M 25-34 tradesman/craftsman
3358 F 25-34 academic/educator
3359 M 25-34 writer
3360 F 25-34 other
3361 M 25-34 "college/grad student"
3362 F 25-34 other
3363 F 35-44 homemaker
3364 M 56+ retired
3365 M 50-55 technician/engineer
3366 M 35-44 sales/marketing
3367 M 50-55 self-employed
3368 M 25-34 sales/marketing
3369 M 45-49 tradesman/craftsman
3370 M 18-24 "college/grad student"
3371 M 25-34 artist
3372 M 56+ retired
3373 M 18-24 self-employed
3374 M 35-44 "customer service"
3375 M 25-34 "college/grad student"
3376 M 35-44 self-employed
3377 M 25-34 technician/engineer
3378 M 18-24 "college/grad student"
3379 M 35-44 academic/educator
3380 M 50-55 other
3381 M 25-34 other
3382 F "Under 18" "K-12 student"
3383 M 56+ self-employed
3384 M 35-44 executive/managerial
3385 F 25-34 homemaker
3386 M 18-24 "college/grad student"
3387 M 18-24 academic/educator
3388 F 25-34 academic/educator
3389 M 18-24 other
3390 F 45-49 writer
3391 M 18-24 "college/grad student"
3392 M 50-55 "doctor/health care"
3393 M 35-44 programmer
3394 M 35-44 executive/managerial
3395 M 25-34 executive/managerial
3396 M 25-34 programmer
3397 M 25-34 "customer service"
3398 M 18-24 writer
3399 M 25-34 "college/grad student"
3400 M 25-34 sales/marketing
3401 M 35-44 executive/managerial
3402 M 35-44 writer
3403 M 35-44 "customer service"
3404 M 25-34 farmer
3405 M 35-44 sales/marketing
3406 F 25-34 executive/managerial
3407 F 45-49 "customer service"
3408 M 25-34 technician/engineer
3409 M 25-34 "college/grad student"
3410 M 35-44 academic/educator
3411 M 18-24 "college/grad student"
3412 M 25-34 tradesman/craftsman
3413 F 25-34 technician/engineer
3414 M 25-34 technician/engineer
3415 M 35-44 executive/managerial
3416 M 25-34 programmer
3417 F 18-24 artist
3418 F 18-24 clerical/admin
3419 M 45-49 academic/educator
3420 F 25-34 executive/managerial
3421 M 45-49 executive/managerial
3422 M 25-34 "customer service"
3423 M 25-34 executive/managerial
3424 M 25-34 "doctor/health care"
3425 M 18-24 writer
3426 M 25-34 writer
3427 M 25-34 sales/marketing
3428 M 45-49 academic/educator
3429 F 25-34 executive/managerial
3430 F 45-49 academic/educator
3431 F 45-49 "doctor/health care"
3432 M 25-34 programmer
3433 M 18-24 programmer
3434 M 18-24 "college/grad student"
3435 M 45-49 academic/educator
3436 M 35-44 other
3437 F 25-34 other
3438 F 25-34 other
3439 M 18-24 technician/engineer
3440 M 56+ technician/engineer
3441 F 25-34 sales/marketing
3442 M 18-24 programmer
3443 F 35-44 technician/engineer
3444 M 50-55 sales/marketing
3445 F 35-44 writer
3446 M 25-34 executive/managerial
3447 M 25-34 programmer
3448 F 18-24 clerical/admin
3449 M 25-34 sales/marketing
3450 M 25-34 "customer service"
3451 F 25-34 lawyer
3452 M 25-34 sales/marketing
3453 M 35-44 executive/managerial
3454 M 18-24 other
3455 F 25-34 other
3456 M 25-34 technician/engineer
3457 M 25-34 writer
3458 M 45-49 other
3459 M 18-24 "college/grad student"
3460 M "Under 18" "college/grad student"
3461 M 35-44 other
3462 F 25-34 "college/grad student"
3463 M 25-34 scientist
3464 F 25-34 sales/marketing
3465 M 25-34 sales/marketing
3466 M 25-34 sales/marketing
3467 M 25-34 sales/marketing
3468 M 25-34 writer
3469 M 45-49 technician/engineer
3470 M 35-44 technician/engineer
3471 M 18-24 "college/grad student"
3472 M 25-34 "doctor/health care"
3473 F 35-44 self-employed
3474 M 35-44 lawyer
3475 M 25-34 sales/marketing
3476 M 50-55 other
3477 F 50-55 academic/educator
3478 M 25-34 executive/managerial
3479 M 18-24 "college/grad student"
3480 M 25-34 other
3481 M 18-24 "college/grad student"
3482 M 50-55 technician/engineer
3483 F 45-49 executive/managerial
3484 M 18-24 "college/grad student"
3485 M 25-34 other
3486 F 18-24 other
3487 M 18-24 "college/grad student"
3488 M 45-49 technician/engineer
3489 M 18-24 "college/grad student"
3490 M 25-34 other
3491 M 25-34 self-employed
3492 M 35-44 executive/managerial
3493 M 25-34 technician/engineer
3494 M 25-34 academic/educator
3495 M 18-24 "college/grad student"
3496 M 35-44 "customer service"
3497 F 35-44 artist
3498 M 25-34 technician/engineer
3499 M 25-34 clerical/admin
3500 M 35-44 executive/managerial
3501 F 35-44 executive/managerial
3502 F 18-24 executive/managerial
3503 M 18-24 "college/grad student"
3504 M 18-24 executive/managerial
3505 F 25-34 scientist
3506 M 18-24 programmer
3507 M 25-34 other
3508 M 18-24 "college/grad student"
3509 M 18-24 "college/grad student"
3510 F 18-24 "college/grad student"
3511 M 50-55 other
3512 M 18-24 technician/engineer
3513 M 25-34 self-employed
3514 M 18-24 programmer
3515 M 35-44 clerical/admin
3516 M 18-24 "college/grad student"
3517 M 18-24 programmer
3518 F 18-24 executive/managerial
3519 F 25-34 sales/marketing
3520 M 25-34 other
3521 M 25-34 other
3522 M 18-24 other
3523 M 35-44 executive/managerial
3524 F 25-34 other
3525 F 18-24 "college/grad student"
3526 M 35-44 artist
3527 M 25-34 other
3528 M 35-44 "customer service"
3529 F 45-49 academic/educator
3530 M 25-34 other
3531 F 25-34 lawyer
3532 F 35-44 sales/marketing
3533 M 25-34 artist
3534 M 35-44 technician/engineer
3535 M 45-49 tradesman/craftsman
3536 M 18-24 "college/grad student"
3537 M "Under 18" "K-12 student"
3538 M 35-44 other
3539 F 25-34 "college/grad student"
3540 M 18-24 technician/engineer
3541 M 25-34 clerical/admin
3542 M 25-34 scientist
3543 M 25-34 technician/engineer
3544 F 25-34 "college/grad student"
3545 M 35-44 programmer
3546 M 25-34 writer
3547 M 35-44 self-employed
3548 M 45-49 executive/managerial
3549 F 35-44 executive/managerial
3550 M 25-34 "customer service"
3551 F 56+ other
3552 F 35-44 artist
3553 M 35-44 self-employed
3554 M 25-34 scientist
3555 M 56+ executive/managerial
3556 M 25-34 technician/engineer
3557 M 18-24 "customer service"
3558 M 18-24 technician/engineer
3559 M 18-24 "college/grad student"
3560 F 25-34 "doctor/health care"
3561 M 35-44 sales/marketing
3562 F 25-34 "doctor/health care"
3563 M 25-34 artist
3564 M 25-34 lawyer
3565 M 25-34 tradesman/craftsman
3566 M 45-49 other
3567 M 25-34 sales/marketing
3568 M 25-34 other
3569 F 18-24 artist
3570 M 35-44 programmer
3571 M 18-24 "college/grad student"
3572 M 35-44 lawyer
3573 M "Under 18" "K-12 student"
3574 F 35-44 "doctor/health care"
3575 M 25-34 tradesman/craftsman
3576 M 50-55 executive/managerial
3577 F 56+ other
3578 M 50-55 clerical/admin
3579 M 18-24 other
3580 F 18-24 clerical/admin
3581 M 18-24 academic/educator
3582 F 35-44 other
3583 F 25-34 homemaker
3584 M 18-24 other
3585 M 35-44 writer
3586 M 35-44 writer
3587 M 35-44 clerical/admin
3588 M 25-34 artist
3589 F 45-49 other
3590 F 18-24 scientist
3591 M 35-44 "doctor/health care"
3592 F 56+ artist
3593 F 25-34 homemaker
3594 M "Under 18" other
3595 M 25-34 other
3596 F 35-44 "college/grad student"
3597 M 25-34 technician/engineer
3598 M 56+ academic/educator
3599 M 25-34 self-employed
3600 M 35-44 writer
3601 F 35-44 clerical/admin
3602 M 25-34 programmer
3603 F 35-44 executive/managerial
3604 F "Under 18" "K-12 student"
3605 M 18-24 programmer
3606 F 25-34 scientist
3607 M 35-44 technician/engineer
3608 F 35-44 homemaker
3609 F 25-34 technician/engineer
3610 M 18-24 "doctor/health care"
3611 M 25-34 artist
3612 M 25-34 sales/marketing
3613 M 25-34 other
3614 M 25-34 other
3615 M 25-34 technician/engineer
3616 M 45-49 other
3617 M 35-44 executive/managerial
3618 M 56+ technician/engineer
3619 M 50-55 self-employed
3620 M 25-34 executive/managerial
3621 M 18-24 "college/grad student"
3622 M 18-24 academic/educator
3623 M 35-44 lawyer
3624 M 25-34 programmer
3625 M 18-24 "K-12 student"
3626 M 25-34 technician/engineer
3627 F 35-44 academic/educator
3628 M 25-34 executive/managerial
3629 F 50-55 executive/managerial
3630 M 18-24 "college/grad student"
3631 M 18-24 "college/grad student"
3632 M 50-55 lawyer
3633 M 35-44 tradesman/craftsman
3634 M 50-55 academic/educator
3635 M 50-55 academic/educator
3636 M 25-34 other
3637 M 25-34 "doctor/health care"
3638 M 25-34 artist
3639 M 18-24 "college/grad student"
3640 M 35-44 executive/managerial
3641 M 25-34 other
3642 F 25-34 executive/managerial
3643 M 25-34 technician/engineer
3644 F 25-34 lawyer
3645 M 35-44 technician/engineer
3646 M 35-44 writer
3647 M 25-34 executive/managerial
3648 M 18-24 "college/grad student"
3649 F 25-34 other
3650 M 25-34 other
3651 M 25-34 sales/marketing
3652 M 25-34 programmer
3653 M 18-24 scientist
3654 M 25-34 technician/engineer
3655 F 25-34 executive/managerial
3656 F 45-49 "customer service"
3657 M 18-24 technician/engineer
3658 F 25-34 executive/managerial
3659 M 18-24 "college/grad student"
3660 M 35-44 executive/managerial
3661 M 35-44 programmer
3662 M 35-44 self-employed
3663 F 35-44 homemaker
3664 F 35-44 academic/educator
3665 M 25-34 other
3666 M 45-49 other
3667 F "Under 18" "K-12 student"
3668 F 45-49 executive/managerial
3669 M 25-34 sales/marketing
3670 M 45-49 sales/marketing
3671 M 25-34 "college/grad student"
3672 M 35-44 "customer service"
3673 M 25-34 artist
3674 M 25-34 writer
3675 M 35-44 executive/managerial
3676 F 35-44 programmer
3677 F 25-34 programmer
3678 M 25-34 other
3679 M 25-34 "college/grad student"
3680 F 25-34 academic/educator
3681 M 25-34 executive/managerial
3682 F 50-55 academic/educator
3683 M 25-34 artist
3684 M 25-34 technician/engineer
3685 M 25-34 "customer service"
3686 M 25-34 executive/managerial
3687 F 50-55 academic/educator
3688 M 18-24 "doctor/health care"
3689 M 25-34 other
3690 M 18-24 other
3691 M 25-34 executive/managerial
3692 M 35-44 technician/engineer
3693 M 25-34 scientist
3694 M 25-34 programmer
3695 M 25-34 artist
3696 M 35-44 executive/managerial
3697 M 25-34 scientist
3698 M 25-34 executive/managerial
3699 F 56+ clerical/admin
3700 M 25-34 sales/marketing
3701 M 35-44 academic/educator
3702 M 35-44 scientist
3703 M 18-24 programmer
3704 F 35-44 other
3705 M 45-49 executive/managerial
3706 M 25-34 programmer
3707 F 18-24 other
3708 M 56+ executive/managerial
3709 M 25-34 programmer
3710 M "Under 18" "K-12 student"
3711 M 35-44 other
3712 M 25-34 technician/engineer
3713 F 25-34 executive/managerial
3714 M 25-34 technician/engineer
3715 M 18-24 "customer service"
3716 M 18-24 programmer
3717 M 35-44 technician/engineer
3718 M 50-55 technician/engineer
3719 M 25-34 academic/educator
3720 M 45-49 executive/managerial
3721 M 25-34 scientist
3722 M 25-34 tradesman/craftsman
3723 M 25-34 sales/marketing
3724 M 35-44 "doctor/health care"
3725 M 18-24 "college/grad student"
3726 M 25-34 technician/engineer
3727 M 35-44 executive/managerial
3728 M 18-24 "college/grad student"
3729 M 18-24 "college/grad student"
3730 M 25-34 academic/educator
3731 M 25-34 technician/engineer
